# M nu z R Re N Naem box snap
5.366702e+13 1.629118e+00 0.10 9.422344e-03 8.615419e-03 4.68856511e+04 4.64480020e+04 1 8
8.702671e+13 1.801747e+00 0.10 4.845936e-03 1.010685e-02 2.68107818e+04 2.66814850e+04 1 8
1.408794e+14 2.000895e+00 0.10 -2.611162e-03 1.301423e-02 1.44387298e+04 1.44765304e+04 1 8
2.279961e+14 2.232435e+00 0.10 6.471006e-03 1.597125e-02 7.30002028e+03 7.25308552e+03 1 8
3.689254e+14 2.503091e+00 0.10 1.390543e-02 2.287398e-02 3.29641930e+03 3.25120982e+03 1 8
5.973745e+14 2.821776e+00 0.10 -1.143582e-02 3.355096e-02 1.23287818e+03 1.24714025e+03 1 8
9.631866e+14 3.195018e+00 0.10 8.507448e-02 5.551373e-02 4.17204759e+02 3.84494120e+02 1 8
1.525750e+15 3.620385e+00 0.10 -1.280160e-01 1.094946e-01 7.60260663e+01 8.71874514e+01 1 8
2.504550e+15 4.167921e+00 0.10 9.195876e-02 2.883839e-01 1.40032621e+01 1.28239844e+01 1 8
4.206400e+15 4.864264e+00 0.10 -2.220623e-02 9.787500e-01 1.00015551e+00 1.02286959e+00 1 8
7.731113e+12 1.079897e+00 0.00 -3.120865e-03 4.708324e-03 3.18738261e+05 3.19736114e+05 1 9
1.256316e+13 1.176158e+00 0.00 -5.545390e-03 5.438288e-03 2.04616633e+05 2.05757639e+05 1 9
2.041317e+13 1.285619e+00 0.00 -4.258411e-03 5.810318e-03 1.30181213e+05 1.30737949e+05 1 9
3.310247e+13 1.410121e+00 0.00 4.678246e-03 7.001582e-03 8.19582101e+04 8.15765748e+04 1 9
5.374812e+13 1.553324e+00 0.00 4.075305e-03 8.246812e-03 4.98130967e+04 4.96109171e+04 1 9
8.705171e+13 1.717498e+00 0.00 -4.418035e-03 9.740845e-03 2.89716702e+04 2.91002361e+04 1 9
1.410888e+14 1.907848e+00 0.00 4.087646e-03 1.231650e-02 1.62917595e+04 1.62254357e+04 1 9
2.283396e+14 2.128663e+00 0.00 -5.519133e-03 1.530351e-02 8.37963554e+03 8.42614054e+03 1 9
3.701433e+14 2.387815e+00 0.00 2.129368e-03 2.056303e-02 3.96910644e+03 3.96067271e+03 1 9
5.973768e+14 2.689670e+00 0.00 -1.440440e-03 3.038022e-02 1.61615118e+03 1.61848251e+03 1 9
9.633875e+14 3.045604e+00 0.00 2.792024e-02 4.505562e-02 5.58273946e+02 5.43110180e+02 1 9
1.514123e+15 3.443570e+00 0.00 2.901138e-02 8.910830e-02 1.42048994e+02 1.38044143e+02 1 9
2.428236e+15 3.937251e+00 0.00 -7.130051e-02 1.940779e-01 2.20052515e+01 2.36946953e+01 1 9
3.664550e+15 4.446612e+00 0.00 7.157053e-01 8.561673e-01 4.00069266e+00 2.33180638e+00 1 9
9.195708e+12 3.753400e+00 3.00 3.046900e-02 2.015297e-02 4.24501614e+03 4.11949914e+03 2 0
1.462522e+13 4.080615e+00 3.00 6.253936e-02 3.731896e-02 1.03273666e+03 9.71951442e+02 2 0
2.376291e+13 4.469411e+00 3.00 5.087377e-03 8.473654e-02 1.78864188e+02 1.77958844e+02 2 0
3.761067e+13 4.888601e+00 3.00 -2.297001e-01 1.786904e-01 1.81321286e+01 2.35390513e+01 2 0
5.786650e+13 5.335304e+00 3.00 -1.805562e-02 6.943382e-01 2.01046792e+00 2.04743564e+00 2 0
9.366261e+12 2.846861e+00 2.00 4.394206e-02 9.042560e-03 3.86412517e+04 3.70147474e+04 2 1
1.498656e+13 3.098880e+00 2.00 4.025119e-02 1.259350e-02 1.42132811e+04 1.36633164e+04 2 1
2.389302e+13 3.382476e+00 2.00 5.513350e-02 1.959072e-02 4.58056238e+03 4.34121595e+03 2 1
3.832960e+13 3.709830e+00 2.00 1.304970e-02 3.515729e-02 1.15126570e+03 1.13643555e+03 2 1
6.043021e+13 4.069963e+00 2.00 2.091858e-02 7.220182e-02 2.36189144e+02 2.31349639e+02 2 1
9.563805e+13 4.485726e+00 2.00 1.241534e-01 1.947739e-01 3.81341713e+01 3.39225701e+01 2 1
1.538933e+14 4.982723e+00 2.00 8.597056e-01 7.562370e-01 6.01460244e+00 3.23416909e+00 2 1
9.476023e+12 1.959282e+00 1.00 -3.524751e-03 5.874937e-03 1.58531378e+05 1.59092138e+05 2 2
1.520507e+13 2.134014e+00 1.00 -9.630962e-03 6.948934e-03 8.07052438e+04 8.14900716e+04 2 2
